ID,Title,URLs,"Date Uploaded","Media Type"
,,https://cretetownship.com/wp-content/uploads/2022/08/August102022Board-Meetingagenda_.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/08/August102022Board-Meetingagenda_.docx,,
,,https://cretetownship.com/wp-content/uploads/2022/07/Special-Budget-Meeting-6-8-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/07/add-to-webiste-7-13-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/07/March092022BODminutes-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/07/July132022Board-Meetingagenda-.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/Board-Meeting-Minutes-5-11-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/OFFICE-OF-THE-ASSESSOR-5-11-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/HIGHWAY-COMMISSIONERS-REPORT-5-11-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/BOARD-MEETING-AGENDA-6-8-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/BUDGET-MEETING-6-8-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/CASH-BALANCE-5-11-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/ROAD-DISTRICT-BUDGET-2022-2023.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/06/TOWNSHIP-BUDGET-2022-2023.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/Draft-Road-Bridge-Budget-Ordinance-FY-2022-2023.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/Draft-Town-Fund-Budget-Ordinacne-FY-2022-2023.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/Mayy2SpecialBODmeetingminutes.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/2022-Spring.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/April132022Board-Meetingagenda-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/May22022SpecialBoard-Meetingagenda-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/Agenda-5-11-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/Cash-Balance-4-13-2022-.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/Office-of-the-Assessor-4-13-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/Highway-Commissioners-4-13-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/Board-Meeting-Minutes-4-13-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/May112022Board-Meetingagenda.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/05/May22022SpecialBoard-Meetingagenda.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/03/Cash-Balance-2-9-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/03/Office-of-the-Assessor-2-9-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/03/Highway-Commissioners-Report-2-9-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/03/agenda-3-9-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/03/Annual-Town-Meeting-4-12-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/03/agenda-3-9-2022-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/03/agenda-3-9-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/02/Office-of-the-Assessor-1-12-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/02/Cash-Balance-1-12-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/02/Highway-Commissioners-report-1-12-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/02/Board-Meeting-Minutes-1-12-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/02/Agenda-2-9-2022-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2022/02/Agenda-2-9-2022.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/05/cropped-cropped-crete-logo.png,,
,,https://cretetownship.com/wp-content/uploads/2021/12/Fall_Winter2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/12/Summer2021PRINT.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/12/Spring2021PRINT.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/12/rsw_365h_365cg_true-5.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/rsw_365h_365cg_true-4.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/rsw_365h_365cg_true-3.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/rsw_365h_365cg_true-2.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/rsw_365h_365cg_true-1.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/rsw_365h_365cg_true.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/laura-elton-collector.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/logo.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/frankelton_trustee.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/jim-piacentini-trustee220x331.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/trustee-bob-hodge220x245.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/12/michael-liccar-supervisor.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/11/Crete-Township-General-Assistance-Packet-v.02.2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/01/Board-Meeting-Minutes-1-13-2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/03/Board-Meeting-Minutes-2-10-2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/03/Board-Meeting-Minutes-3-10-2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/04/Board-Meeting-Minutes-4-14-2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/05/Board-Meeting-Minutes-5-12-2021.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/2020-Crete-Township-Annual-Audited-Financial-Statements.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/2019-Crete-Township-Annual-Audited-Financial-Statements.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/2018-Crete-Township-Annual-Audited-Financial-Statements.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/2017-Crete-Township-Annual-Audited-Financial-Statements.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/2016-Crete-Township-Annual-Audited-Financial-Statements.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/11/2015-Crete-Township-Annual-Audited-Financial-Statements.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/06/7CC57807-0501-477D-A193-B34233CFB3A6.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/05/2020-Winter.pdf,,
,,https://cretetownship.com/wp-content/uploads/2021/05/Screen-Shot-2021-05-19-at-8.55.54-PM.png,,
,,https://cretetownship.com/wp-content/uploads/2021/05/cropped-crete-logo.png,,
,,https://cretetownship.com/wp-content/uploads/2021/05/crete-logo.png,,
,,https://cretetownship.com/wp-content/uploads/2021/05/cropped-kisspng-the-greek-village-madison-kansas-city-window-blind-5c4634f0aed281.5129306715481049447161.jpg,,
,,https://cretetownship.com/wp-content/uploads/2021/05/kisspng-the-greek-village-madison-kansas-city-window-blind-5c4634f0aed281.5129306715481049447161.jpg,,
,,https://cretetownship.com/wp-content/uploads/2021/05/AdobeStock_307323699-scaled-1.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/05/146947588-chicago-skyline-aerial-drone-view-from-above-lake-michigan-and-city-of-chicago-downtown-skyscrapers-.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/05/chicago-skyline-aerial-drone-view-above-city-downtown-skyscrapers-lake-michigan-cityscape-usa-illinois-206635585.jpeg,,
,,https://cretetownship.com/wp-content/uploads/2021/05/log_file_2021-05-19__18-21-32.txt,,
,,https://cretetownship.com/wp-content/uploads/2021/05/log_file_2021-05-19__18-21-06.txt,,
,,https://cretetownship.com/wp-content/uploads/2021/05/log_file_2021-05-19__18-20-21.txt,,
,,https://cretetownship.com/wp-content/uploads/2020/10/Cash-Balance-10-14-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/10/Assessor-Board-Meeting-10-14-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/10/Board-Meeting-Minutes-10-14-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Cash-Balance-9-9-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/office-of-the-assessor-9-9-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Highway-Commissioners-Report-9-9-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Board-Meeting-Minutes-9-9-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Cash-balance-8-12-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/OFFICE-OF-THE-ASSESSOR-3-11-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Highway-Commissioners-report-8-12-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Board-Meeting-Minutes-8-12-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Cash-balance-8-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Office-of-the-assessor-8-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Highway-Commissioners-report-8-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/08/Board-Meeting-Minutes-8-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/07/Cash-Balance-7-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/07/Assessors-Report-7-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/07/Highway-Commissioners-7-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/07/Board-Meeting-minutes-7-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/07/Board-Meeting-Minutes-6-10-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/07/Board-Meeting-Minutes-6-10-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/06/Office-of-the-Assessor-6-10-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/06/Board-Meeting-Agenda-6-10-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/06/Highway-Monthly-Report-6-10-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/06/Board-Meeting-Agenda-6-10-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/05/cash-balance-5-13-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/05/assessor-board-meeting-5-13-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/05/Highway-Commissioners-report-5-13-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/05/Board-meeting-minutes-5-13-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/06/press_release_PUBLIC_ACT_101-635.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/06/brochure_PUBLIC_ACT_101-635.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/04/Assessor-Board-Meeting-4-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/04/Highway-Commissioners-Report-4-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/04/Board-meeting-4-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/CASH-BALANCE-3-11-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/OFFICE-OF-THE-ASSESSOR-3-11-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/HIGHWAY-COMMISSIONERS-REPORT-3-11-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/BOARD-MEETING-MINUTES-3-11-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Board-Meeting-Minutes-2-12-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Cash-Balance-2-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Highway-Commissioners-Report-2-12-2020-2.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Highway-Commissioners-Report-2-12-2020-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Highway-Commissioners-Report-2-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/03/Board-Meeting-Minutes-2-12-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/01/Cash-Balance-1-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/01/assessor-board-meeting-1-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/01/Highway-Commissioners-report-1-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/01/Board-Meeting-Minutes-1-8-2020.pdf,,
,,https://cretetownship.com/wp-content/uploads/2020/01/IMG-4855-scaled-e1580322136113.jpg,,
,,https://cretetownship.com/wp-content/uploads/2016/06/IMG-4854-scaled-1.jpg,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Office-of-the-Assessor-12-11-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Highway-Commissioners-Report-12-11-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Board-Meeting-12-11-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Special-Fund-Levy-Meeting-12-11-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/12/Board-Meeting-Minutes-11-13-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Cash-Balance-11-13-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Assessor-board-meeting-11-13-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Highway-Commissioners-Report-11-13-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/board-meeting-11-14-2018.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Cash-Balance-10-9-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Assessor-Report-10-9-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Highway-Commissioners-Report-10-9-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/Board-Meeting-Minutes-10-9-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/10/EJ-2018-Status.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/cash-balance-9-11-19.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/assessors-report-9-11-19.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/highway-commissioners-report-9-11-19.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/board-meeting-minutes-9-11-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/09/Capture.png,,
,,https://cretetownship.com/wp-content/uploads/2019/09/Motor-Fuel-tax.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/09/cash-balance-report-8-14-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/09/assessor-8-14-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/09/highway-commissioners-report-8-14-19.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/09/board-meeting-minutes-8-14-2019-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/09/board-meeting-minutes-8-14-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/cash-balance-report-8-14-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/assessor-8-14-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/highway-commissioners-report-8-14-19.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/board-meeting-minutes-8-14-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/STROMWATER-POLLUTION.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/STORMWATER-MANAGEMENT-PLAN.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/STORM-WATER-RUNOFF.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/NOI.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/MAINTAINING-YOUR-SEPTIC-SYSTEM.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/ANNUAL-FACILITY-INSPECTION-2018-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/ANNUAL-FACILITY-INSPECTION-2017-2018.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/ANNUAL-FACILITY-INSPECTION-2016-2017.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/ANNUAL-FACILITY-INSPECTION-2015-2016.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/08/ANNUAL-FACILITY-INSPECTION-2014-2015.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Cash-Balance-7-10-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Office-of-the-Accessor-7-10-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Highway-Commissioners-Report-7-10-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Board-Meeting-Minutes-7-10-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Cash-balance-6-12-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Assessor-board-meeting-6-12-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Highway-Commissioners-Report-6-12-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/board-meeting-minutes-6-12-2019.pdf,,
,,https://cretetownship.com/wp-content/uploads/2018/04/IMG_5171-e1560281075477-scaled-e1623949937590.jpg,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Cash-Balance-5-8-2019-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Assessor-Board-Meeting-5-8-2019-1.pdf,,
,,https://cretetownship.com/wp-content/uploads/2019/03/Highway-Commissioners-report-5-8-2019-1.pdf,,
